lineage	sample	genotype	pseudotime_bin	panel	program_log1pCP10K	n_cells	control_reference	delta_vs_control
Beta	dEndo 4	dEndo	1	β lineage TFs	0.6728014903776102	119	0.6647181447699569	0.008083345607653225
Beta	dEndo 4	dEndo	1	β terminal output	0.2915332128026077	119	0.3522589932974627	-0.060725780494855
Beta	dEndo 4	dEndo	2	β lineage TFs	0.8492551148358319	91	0.6979184577596292	0.1513366570762027
Beta	dEndo 4	dEndo	2	β terminal output	0.4664283501097515	91	0.6795409981933789	-0.2131126480836274
Beta	dEndo 4	dEndo	3	β lineage TFs	0.9050367544090824	67	0.7641663897454091	0.1408703646636733
Beta	dEndo 4	dEndo	3	β terminal output	1.3727355329841544	67	2.0327079246520374	-0.659972391667883
Beta	dEndo 4	dEndo	4	β lineage TFs	1.2917935816921062	47	1.1074408953503578	0.1843526863417484
Beta	dEndo 4	dEndo	4	β terminal output	3.3920489914367633	47	3.7538637201755116	-0.3618147287387483
Beta	dEndo 4	dEndo	5	β lineage TFs	1.4100119075471869	33	1.3944697467463698	0.015542160800817051
Beta	dEndo 4	dEndo	5	β terminal output	5.401617999787479	33	5.727459039180633	-0.32584103939315323
Beta	DKO 1	DKO	1	β lineage TFs	0.780420577881276	21	0.6647181447699569	0.115702433111319
Beta	DKO 1	DKO	1	β terminal output	0.0838239162036891	21	0.3522589932974627	-0.26843507709377357
Beta	DKO 1	DKO	2	β lineage TFs	0.7480961301404653	23	0.6979184577596292	0.050177672380836036
Beta	DKO 1	DKO	2	β terminal output	0.4629390673874528	23	0.6795409981933789	-0.2166019308059261
Beta	DKO 1	DKO	3	β lineage TFs	0.741846119661982	13	0.7641663897454091	-0.022320270083427074
Beta	DKO 1	DKO	3	β terminal output	1.5901759865340697	13	2.0327079246520374	-0.44253193811796776
Beta	DKO 1	DKO	4	β lineage TFs	1.049262199450325	19	1.1074408953503578	-0.05817869590003277
Beta	DKO 1	DKO	4	β terminal output	3.3141471588308735	19	3.7538637201755116	-0.4397165613446381
Beta	DKO 1	DKO	5	β lineage TFs	1.331069065856145	11	1.3944697467463698	-0.06340068089022477
Beta	DKO 1	DKO	5	β terminal output	4.5599210214783	11	5.727459039180633	-1.1675380177023325
Beta	DKO 3	DKO	1	β lineage TFs	0.8947848046253908	2	0.6647181447699569	0.23006665985543384
Beta	DKO 3	DKO	1	β terminal output	0.5136610924279791	2	0.3522589932974627	0.1614020991305164
Beta	DKO 3	DKO	2	β lineage TFs	0.37895122350042865	10	0.6979184577596292	-0.3189672342592006
Beta	DKO 3	DKO	2	β terminal output	0.5970146670005649	10	0.6795409981933789	-0.08252633119281394
Beta	DKO 3	DKO	3	β lineage TFs	0.8882362018133184	8	0.7641663897454091	0.12406981206790935
Beta	DKO 3	DKO	3	β terminal output	1.8619119259759398	8	2.0327079246520374	-0.17079599867609763
Beta	DKO 3	DKO	4	β lineage TFs	0.8369143245146398	13	1.1074408953503578	-0.27052657083571807
Beta	DKO 3	DKO	4	β terminal output	3.319391880715392	13	3.7538637201755116	-0.43447183946011947
Beta	DKO 3	DKO	5	β lineage TFs	1.4259736198245525	23	1.3944697467463698	0.0315038730781827
Beta	DKO 3	DKO	5	β terminal output	5.2331887714325775	23	5.727459039180633	-0.49427026774805505
